Station Name,lat,lon,Station number
Voorschoten,52.1397,4.4364, 215_H 
De Kooy,52.9269,4.7811, 235_H 
Schiphol,52.3172,4.7897, 240_H 
Berkhout,52.6428,4.9789,249_H
Hoorn,53.3911,5.3458, 251_H 
De Bilt,52.0989,5.1797, 260_H 
Stavoren,52.8967,5.3833, 267_H 
Lelystad,52.4572,5.5197, 269_H 
Leeuwarden,53.2231,5.7517, 270_H 
Marknesse,52.7019,5.8875, 273_H 
Deelen,52.0547,5.8722, 275_H 
Heino,52.4344,6.2589, 278_H 
Hoogeveen,52.7489,6.5731, 279_H 
Eelde,53.1236,6.5847, 280_H 
Hupsel,52.0678,6.6567, 283_H 
Nieuw Beerta,53.1944,7.1492, 286_H 
Twenthe,52.2731,6.8908, 290_H 
Vlissingen,51.4414,3.5958, 310_H 
Westdorpe,51.2247,3.8611, 319_H 
Rotterdam,51.9606,4.4469, 344_H 
Cabauw,51.9692,4.9258, 348_H 
Gilze-Rijen,51.565,4.9353, 350_H 
Herwijnen,51.8578,5.1453, 356_H 
Eindhoven,51.4497,5.3769, 370_H 
Volkel,51.6586,5.7067, 375_H 
Maastricht,50.9053,5.7619, 380_H 
Arcen,51.4972,6.1961, 391_H 
Wilhelminadorp,51.533333,3.9,323_H
Vlieland,53.24,4.9208,242_H
Hoek van Holland,51.99,4.121,330_H
Wijk aan Zee,52.505,4.603,257_H
Woensdrecht,51.448,4.34,340_H
Ell,51.197,5.762,377_H
Lauwersoog,53.409,6.196,277_H
